username,password,firstName,lastName,role
zaknorman,password,Zak,Norman,Student
constancefrost,password,Constance,Frost,Student
shayladean,password,Shayla,Dean,Student
calebcombs,password,Caleb,Combs,Student
annikamcmahon,password,Annika,Mcmahon,Student
stevenzimmerman,password,Steven,Zimmerman,Student
leabradshaw,password,Lea,Bradshaw,Student
ariannasosa,password,Arianna,Sosa,Student
florenceford,password,Florence,Ford,Student
saoirsedorsey,password,Saoirse,Dorsey,Student
angelopetty,password,Angelo,Petty,Student
maiziegilmore,password,Maizie,Gilmore,Student
holliewiley,password,Hollie,Wiley,Student
judyjuarez,password,Judy,Juarez,Student
tommydavid,password,Tommy,David,Student
kaylumdunn,password,Kaylum,Dunn,Student
rachaeltran,password,Rachael,Tran,Student
theodoreprice,password,Theodore,Price,Student
eliffox,password,Elif,Fox,Student
aimeeshaffer,password,Aimee,Shaffer,Student
cassiustrevino,password,Cassius,Trevino,Student
duncanpotts,password,Duncan,Potts,Student
bellacardenas,password,Bella,Cardenas,Student
alanalucas,password,Alana,Lucas,Student
fabiohill,password,Fabio,Hill,Student
crystalhahn,password,Crystal,Hahn,Student
lillywoodward,password,Lilly,Woodward,Student
nataliemiles,password,Natalie,Miles,Student
eileenfrench,password,Eileen,French,Student
ashtonsingleton,password,Ashton,Singleton,Staff
erikcenteno,password,Erik,Centeno,Staff
harrisonwittenbrook,password,Harrison,Wittenbrook,Staff
